file	probe_count	reason	operator_decision
tests/system/ST1.15_SystemStructuredRollbackContract/test_system_structured_rollback_contract.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.13_SystemSnapshotRetention/test_system_snapshot_retention.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.5_SystemConversionRealBackends/test_system_conversion_real_backends.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.9_SystemLimits/test_system_limits.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.10_SystemLimitsTimeout/test_system_limits_timeout.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST_IntegrityVerifier/test_integrity_running.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.6_SystemDryRunContract/test_system_dry_run_contract.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.12_SystemSedTransactionContract/test_system_sed_transaction_contract.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.4_SystemConversionOptionality/test_system_conversion_optionality.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST_LogRotation/test_rotation_config.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.1_SystemAuditIntegrity/test_system_audit_integrity.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.14_SystemStructuredPathEdgeCases/test_system_structured_path_edge_cases.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/system/ST1.2_SystemAuthHealth/test_system_auth_health.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/quality/QT_LoggingCompliance/test_logging_compliance.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/quality/QT_PACKAGE_COMPLIANCE/test_package_compliance.py	12	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/quality/QT_COMPLIANCE/test_qt3_documentation_suite.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/quality/QT_COMPLIANCE/test_qt26_secrets_separation.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/quality/QT_COMPLIANCE/test_qt27_bespoke_code_scan.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/quality/QT_COMPLIANCE/test_qt1_security_suite.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/smoke/SM1.2_NoUnguardedRoute/test_no_unguarded_route_meta.py	12	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.11_IntegrationMeldOptionalityHttp/test_integration_meld_optionality_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.15_IntegrationScopedOps/test_integration_scoped_ops.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.18_IntegrationSedlikeTransactionHttp/test_integration_sedlike_transaction_http.py	2	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.4_IntegrationConfigMatrixHarnessHttp/test_integration_config_matrix_harness_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.22_IntegrationYamlFileStructuredOps/test_integration_yaml_file_structured_ops.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.14_IntegrationRemoteStorageBackendsHttp/test_integration_remote_storage_backends_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.24_SystemConversionBackendSelection/test_system_conversion_backend_selection.py	4	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.8_IntegrationIterativeCycleGuardHttp/test_integration_iterative_cycle_guard_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.3_IntegrationBase64FileOps/test_integration_base64_file_ops.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.10_IntegrationMarkdownAdvancedHttp/test_integration_markdown_advanced_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.9_IntegrationJsonYamlGetMergeHttp/test_integration_json_yaml_get_merge_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.19_IntegrationStoryMultitypeCrudHttp/test_integration_story_multitype_crud_http.py	3	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.6_IntegrationFilesystemPathToolsHttp/test_integration_filesystem_path_tools_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.1_DockerContainerRemoteStorageBackends/test_docker_container_remote_storage_backends.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.23_ServerHttpIntegration/test_server_http_integration.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.17_IntegrationSedlikeFileHttp/test_integration_sedlike_file_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.2_DockerContainerRuntime/test_docker_container_runtime.py	7	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.12_IntegrationMultiProfileRoutingHttp/test_integration_multi_profile_routing_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.20_IntegrationStructuredAuditSnapshot/test_integration_structured_audit_snapshot.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.25_IntegrationA2AAuthContract/test_integration_a2a_auth_contract.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.5_IntegrationDiffFilesHttp/test_integration_diff_files_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.16_IntegrationSearchHttp/test_integration_search_http.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
tests/integration/IT1.21_IntegrationStructuredFormats/test_integration_structured_formats.py	1	no-FR-mapping-found-in-path-or-docstring; operator-review	DEFAULT-RETAIN-FOR-REVIEW
